A & M Institute Of Mgt. & Tech ,,Punjab   
Nalanda D Ed College ,,Karnataka   
Nalanda Degree College ,Vijayawada   ,Andhra Pradesh   
Nalanda Degree College For Women ,Nizamabad   ,Andhra Pradesh   
"Nalanda Degree College, Adilabad ",Adilabad   ,Andhra Pradesh   
"Nalanda Degree College, Bheemgal ",Bheemgal   ,Andhra Pradesh   
"Nalanda Degree College, Mahabubabad ",Mahaboobabad   ,Andhra Pradesh   
"Nalanda Degree College, Medak ",Medak   ,Andhra Pradesh   
"Nalanda Degree College, Miryalaguda ",Miryalaguda   ,Andhra Pradesh   
"Nalanda Degree College, Mulugu ",Mulugh   ,Andhra Pradesh   
"Nalanda Degree College, Nalgonda ",Suryapet   ,Andhra Pradesh   
"Nalanda Degree College, Nizamabad ",Nizamabad   ,Andhra Pradesh   
"Nalanda Degree College, Uppal ",Nalgonda   ,Andhra Pradesh   
Nalanda Diploma In Education ,,Karnataka   
Nalanda Elementary Teachers Educational Institute ,,Haryana   
Nalanda Engineering College ,Nalanda   ,Bihar   
Nalanda Institute Of Engineering & Technology ,Guntur   ,Andhra Pradesh   
Nalanda Institute Of Technology ,Bhubaneswar   ,Orissa   
Nalanda Law College ,Mumbai   ,Maharashtra   
Nalanda Mahila College ,,Bihar   
Nalanda Medical College ,Patna   ,Bihar   
Nalanda Open University ,Patna   ,Bihar   
Nalanda Teacher Training Institute ,,Andhra Pradesh   
Nalanda Teacher Training Institute ,,Kerala   
Nalanda Teachers Trining College ,,Bihar   
Nalbari College ,Nalbari   ,Assam   
Nalini Arvind T V Patel Arts College ,,Gujarat   
Nalini Devi Women Teachers Training College ,,Orissa   
Nalini Devi Women'S College Of Teacher Education ,,Orissa   
Nalla Malla Reddy Engineering College ,Ghatkesar   ,Andhra Pradesh   
Nallamuthu Gounder Mahalingam College ,Pollachi   ,Tamil Nadu   
Nalsar University Of Law ,Hyderabad   ,Andhra Pradesh   
Nalwa College Of Education ,,Haryana   
Namakkal Kavignar Ramalingam Government Arts College For Women ,Namakkal   ,Tamil Nadu   
Nambol L. Sanoi College ,,Manipur   
Namboodiris College Of Teacher Education ,,Kerala   
Namdhari Education Society ,,Himachal Pradesh   
Namrup College ,,Assam   
Namrup College Of Teacher Education ,,Assam   
Nanak Chand Anglo Sanskrit College Deptt Of Edu ,,Uttar Pradesh   
Nanakram Bhagwandas Science College ,Hyderabad   ,Andhra Pradesh   
Nanasaheb Dr Uttamrao Mahajan Shikshan Shastra ,,Maharashtra   
Nanda Nath Saikia College ,,Assam   
Nandagokulam Teachers Training Institute ,,Karnataka   
Nandalal Ghosh B T College ,,West Bengal   
Nandalal Ghosh B.T. College ,,West Bengal   
Nandana Degree College ,Nirmal   ,Andhra Pradesh   
Nandani Nagar Mahavidyalya ,,Uttar Pradesh   
Nandha Arts And Science College ,Erode   ,Tamil Nadu   
Nandha College Of Education ,,Tamil Nadu   
Nandha College Of Physiotherapy ,Erode   ,Tamil Nadu   
Nandha College Technology ,Erode   ,Tamil Nadu   
Nandha Engineering College ,Erode   ,Tamil Nadu   
Nandha Polytechnic College ,Coimbatore   ,Tamil Nadu   
Nandha Teacher Training Institute ,,Tamil Nadu   
Nandi Teacher Training Institute ,,Karnataka   
Nandini B Ed College ,,Karnataka   
Nandini D Ed College ,,Karnataka   
Nandini Nagar Law College ,Bareilly   ,Uttar Pradesh   
Nandini Nagar Mahavidyalaya ,,Uttar Pradesh   
Nandini Teachers Training Institute ,,Karnataka   
Nandubar Taluka Vidhayak Samiti'S College Of Edu ,,Maharashtra   
Nandurbar Taluka Vidhayak Samitis ,,Maharashtra   
Nandurbar Taluka Vidhayak Samitis College Of Law Nstitute Of Legal Education & Research ,Nandurbar   ,Maharashtra   
Nandurbar Taluka Vidhayak Samiti'S College Of Phy Edn ,,Maharashtra   
Nanibai College Of Education ,,Maharashtra   
Nanjamma Teacher Training Institute ,,Karnataka   
Nanjappa Institute Of Technology ,Coimbatore   ,Tamil Nadu   
Nanjiah Lingammal Polytechnic College ,Kanyakumari   ,Tamil Nadu   
Nao Nalanda Mahavihar ,,Bihar   
Naradha Art Science College ,Erode   ,Tamil Nadu   
Narain College ,,Uttar Pradesh   
Naraina College Of Engineering & Technology ,Kanpur   ,Uttar Pradesh   
Narajole Raj College ,,West Bengal   
Narasaraopet Engineering College ,Guntur   ,Andhra Pradesh   
Narasimha Reddy Engineering College ,Medchal   ,Andhra Pradesh   
Narasingha Choudhury College ,,Orissa   
Narasingha Dutta College ,,West Bengal   
Narasu'S Sarathy Institute Of Technology ,Salem   ,Tamil Nadu   
Narayan Arya Kanya Pathshala Degree Pg College ,,Uttar Pradesh   
Narayan College Of Education ,,Haryana   
Narayan Mahavidyalaya ,,Bihar   
"Narayan Medical College And Hospital, Sasaram ",Sasaram   ,Bihar   
Narayan S.S. College ,,Kerala   
Narayana College Of Education ,,Andhra Pradesh   
Narayana Dora Degree College ,Srikakulam   ,Andhra Pradesh   
Narayana Engineering College ,Guntur   ,Andhra Pradesh   
Narayana Engineering College Andhra Pradesh ,Nellore   ,Andhra Pradesh   
"Narayana Medical College, Nellor ",Nellore   ,Andhra Pradesh   
Narayana Memorial Degree College ,Krishna   ,Andhra Pradesh   
Narayana Shikshak Prashikshan Mahavidyalaya ,,Rajasthan   
Narayanaguru College Of Engineering ,Kanyakumari   ,Tamil Nadu   
Narayanpet Institute Of Technology & Science ,Mahabubnagar   ,Andhra Pradesh   
Narayni Devi Verma Mahila Phy T T College ,,Rajasthan   
Narendar College Of Education ,,Tamil Nadu   
Narendra College Of Physical Education ,,Karnataka   
Narendra Degree College ,Armoor   ,Andhra Pradesh   
"Narendra Degree College, Metpally ",Metpally   ,Andhra Pradesh   
Narendra Deva University Of Agriculture Technology ,Faizabad   ,Uttar Pradesh   
Narendra Womens Degree College ,Armoor   ,Andhra Pradesh   
Naresh Shikshak Prashikshan Mahavidyalaya ,,Rajasthan   
Narhar Balwant Thankur Law College ,Nashik   ,Maharashtra   
Narheji Degree College ,,Uttar Pradesh   
Nari Shiksha Niketan Degree College ,,Uttar Pradesh   
Naripella Narayana Swamy Vidya College Of Pg Studies ,Mandal   ,Andhra Pradesh   
Naripella Narayana Swamy Vidya Degree College ,Chirala   ,Andhra Pradesh   
Narketpally College Of Education ,,Andhra Pradesh   
Narmada College Of Management ,Bharuch   ,Gujarat   
Narmada College Science And Commerce ,,Gujarat   
Narmada Devi Mahila Mahavidyalay ,,Uttar Pradesh   
Narmada Education Society College Of Education ,,Madhya Pradesh   
Narottam Singh Padam Singh Government College ,,Uttar Pradesh   
"Narsee Monjee Institue Of Management Studies, Mumbai ",Mumbai   ,Maharashtra   
Narsinghpur College ,,Orissa   
Narula Institute Of Technology ,Calcutta   ,West Bengal   
Narvadeshwar Management College ,,Uttar Pradesh   
Narvdeshwar Vidhi Mahavidyalaya ,Lucknow   ,Uttar Pradesh   
Nasamony Memorial Christian College ,Kanyakumari   ,Tamil Nadu   
Nashik District Maratha Vidya Prasarak Samaj-Institute Of Management Research & Technology ,Nashik   ,Maharashtra   
Nasik District Maratha Vidya Prasarak ,,Maharashtra   
Nasik Gramin Shikshan Prasarak Mandals ,,Maharashtra   
Natesan Institute Of Co-Operative Management ,Chennai   ,Tamil Nadu   
Natham P R College Of Education ,,Tamil Nadu   
Natham P R Teacher Training Institute ,,Tamil Nadu   
Nathubai V Patel College Pure Applied Scienc ,,Gujarat   
Nathulal Das Primary Teachers Training Institute ,,West Bengal   
National Academy Of Legal Studies And Research University Of Law (Nalsar) ,Hyderabad   ,Andhra Pradesh   
National B Ed College ,,Karnataka   
National B Ed College ,,Madhya Pradesh   
National B Ed College Run By National Educational ,,Maharashtra   
National College ,,Karnataka   
National College ,Trivandrum   ,Kerala   
National College ,,Orissa   
National College ,,Punjab   
National College ,Trichy   ,Tamil Nadu   
National College For Teacher Education ,,Kerala   
National College For Teacher Eduction ,,Kerala   
National College Of Arts & Science ,Kozhikode   ,Kerala   
National College Of Education ,,Andhra Pradesh   
National College Of Education ,,Karnataka   
National College Of Education ,,Maharashtra   
National College Of Education ,,Tamil Nadu   
O P Jindal Institute Of Technology,Raigarh  ,Chhattisgarh  
O.P.R. Memorial College Of Education,,Tamil Nadu  
O.P.R. Memorial Teacher Training Institute,,Tamil Nadu  
O.V.R. Degree College,Tirupati  ,Andhra Pradesh  
Oasis Imperial College Of Education,,Madhya Pradesh  
"Oberoi School Of Hotel Management, Delhi",Delhi  ,Delhi  
Odaiyappa College Of Engineering And Technology,Tirupur  ,Tamil Nadu  
Odapada Panchayat Samit Mahavidyalaya,,Orissa  
Ojaswani College Par Excellence,,Madhya Pradesh  
Ojaswini Institute Of Management & Technology,Damoh  ,Madhya Pradesh  
Olaver College,,Orissa  
Olive College Of Education,,Andhra Pradesh  
Olive Pg College,Ibrahimpatnam  ,Andhra Pradesh  
Om College Of Education,,Haryana  
Om D Ed College,,Karnataka  
Om Education Trust P T C College,,Gujarat  
Om Institute Of Mgt,Jagadhari  ,Haryana  
Om Institute Of Tech. & Mgt,Hissar  ,Haryana  
Om Institute Of Technical And Teachers Education,,Madhya Pradesh  
Om Jai Shriram Samaj Seva Sanstha,,Maharashtra  
Om Karnanda Institute Of Management & Technology,Tehri Garhwal  ,Uttaranchal  
Om Kothari Institute Of Management & Research,,Rajasthan  
Om Parimary Teachers Training College,,Gujarat  
Om Prakash Memorial Institute Of Education,,Punjab  
Om Rajyog Bahuudeshiya Vikas Mandal,,Maharashtra  
Om Sai D Ed College,,Karnataka  
Om Shanthi Teacher Training Institute,,Tamil Nadu  
Om Shanti College Of Education,,Tamil Nadu  
Om Shanti Junior College Of Education,,Maharashtra  
Om Shree Foundations D Ed College,,Karnataka  
Om Sri Vigneswara Women Teacher Trg Institute,,Tamil Nadu  
Om Vindhyavasani Institute Of Management,Rajkot  ,Gujarat  
Omega College Of Education,,Andhra Pradesh  
Omega College Of Elementry Teacher Education,,Andhra Pradesh  
"Omega Degree College, Keesar",Keesara  ,Andhra Pradesh  
Omega P.G. College,Mandal  ,Andhra Pradesh  
Omkar College Of Professional Studies,,Madhya Pradesh  
Omkaramal Somani College Of Education,,Karnataka  
Omshanti College Of Education,,Maharashtra  
Omshree Mahavidyalaya,,Madhya Pradesh  
Onkarmal Somani College Of Commerce,,Rajasthan  
Ooliyasthanam Teacher Training Institute,,Tamil Nadu  
Oriental B Ed College,,Madhya Pradesh  
Oriental College,,Manipur  
Oriental College Bihar,,Bihar  
Oriental College Of Education,,Bihar  
Oriental College Of Management,Bhopal  ,Madhya Pradesh  
Oriental College Of Teacher Education,,Kerala  
Oriental Education Trust National College Of Education,,Maharashtra  
Oriental Educaton Society,,Maharashtra  
Oriental Institute Of Management,Mumbai  ,Maharashtra  
Oriental Institute Of Science & Technology,Indore  ,Madhya Pradesh  
"Oriental Institute Of Science And Technology, Thakral Nagar",Bhopal  ,Madhya Pradesh  
Oriental Law Institute,Deoria  ,Uttar Pradesh  
Oriental Teacher Training Institute,,Tamil Nadu  
Orissa Computer Academy,Khurta  ,Orissa  
Orissa Engineering College,Bhubaneswar  ,Orissa  
Orissa Medical College Of Homeopathy & Research,,Orissa  
Orissa School Of Mining Engineering,,Orissa  
Orissa University Of Agriculture And Technology,Bhubaneswar  ,Orissa  
Osmania College,Kurnool  ,Andhra Pradesh  
Osmania College Of Education,,Andhra Pradesh  
Osmania Degree College,Proddatur  ,Andhra Pradesh  
Osmania Graduates Asscn & Exhibition Society Coll,,Andhra Pradesh  
Osmania Law College,Kurnool  ,Andhra Pradesh  
Osmania Medical College,Hyderabad  ,Andhra Pradesh  
Osmania University,Hyderabad  ,Andhra Pradesh  
Oupada College,,Orissa  
Our Lady College Of Education,,Tamil Nadu  
Our Lady Dolours Teacher Training Institute,,Tamil Nadu  
Our Ladys Teacher Training Institute,,Kerala  
Oxbridge Business School,Bangalore  ,Karnataka  
Oxford College Of Eduation,,Tamil Nadu  
Oxford College Of Engineering,Bangalore  ,Karnataka  
Oxford College Of Engineering Tamil Nadu,Trichy  ,Tamil Nadu  
Oxford College Of Law,Bangalore  ,Karnataka  
Oxford D Ed College,,Karnataka  
Oxford Degree College,Vizianagaram  ,Andhra Pradesh  
Oxford Girls College Of Education,,Haryana  
Oxford International College Of Education,,Haryana  
Oxford Model Institute Of Advance Studies,,Uttar Pradesh  
Oxford Teacher Training Institute,,Karnataka  
Oxford Teacher Training Institute,,Tamil Nadu  
Ozar Vikas Sansthas Vishwasattya B Ed College,,Maharashtra  
P B N College, Guntur  , Andhra Pradesh  
P B S College,, Bihar  
P B Sidhartha College Arts Science, Vijayawada  , Andhra Pradesh  
P C Vigyan Mahavidyalaya,, Bihar  
P D M College Commerce,, Gujarat  
P D M Graduate Teachers College,, Gujarat  
P D Pandya Mahila Commerce College,, Gujarat  
P G College Godwal, Mahabubnagar  , Andhra Pradesh  
P G College Medak, Medak  , Andhra Pradesh  
P G College Mehboobnagar, Mahabubnagar  , Andhra Pradesh  
P G College Mirzapur, Medak  , Andhra Pradesh  
P G College Nalgonda, Nalgonda  , Andhra Pradesh  
P G College Nizamabad, Nizamabad  , Andhra Pradesh  
P G College Osmania University, Hyderabad  , Andhra Pradesh  
P G College Science, Hyderabad  , Andhra Pradesh  
P G College Siddipet, Siddipet  , Andhra Pradesh  
P G College Vikrabad, Rangareddy  , Andhra Pradesh  
P K Roy Memorial College,, Jharkhand  
P L Singh College,, Bihar  
P M S College,, Bihar  
P N C K R Degree College, Guntur  , Andhra Pradesh  
P N College,, Bihar  
P P K College,, Jharkhand  
P R Government College Evening Courses, Kadakatia  , Andhra Pradesh  
P R R Memorial Engineering College, Rangareddy  , Andhra Pradesh  
P R R V S Government College, Vidavalur  , Andhra Pradesh  
P S C K V S C Government College, Nandyal  , Andhra Pradesh  
P Science College,, Bihar  
P T Sarvajanik College Science,, Gujarat  
P V A Ekka M College,, Jharkhand  
P V K N Government College, Chitoor  , Andhra Pradesh  
P V R Trust Degree College, Kadakatia  , Andhra Pradesh  
P. A. College Of Engineering, Mangalore  , Karnataka  
P. Satyanarayana Rao Memorial Degree College, Khammam  , Andhra Pradesh  
P.A Aziz College Of Engineering And Technology, Coimbatore  , Tamil Nadu  
P.A. College Of Education,, Tamil Nadu  
P.A.C. Ramasamy Raja'S Polytechnic College, Namakkal  , Tamil Nadu  
P.B. College Of Engineering., Chennai  , Tamil Nadu  
P.C Jabin Science College,, Karnataka  
P.C. Bagla P G College Deptt Of Edu,, Uttar Pradesh  
P.C.M.S.D. College For Women,, Punjab  
P.D. Mahila Degree College,, Uttar Pradesh  
P.D. Rajan College Of Education,, Tamil Nadu  
P.D.E.As College Of Engg,, Maharashtra  
P.D.M. College Of Education,, Haryana  
P.D.R. Teacher Training Institute,, Tamil Nadu  
P.D.R. Vellachiammal Teacher Training Institute,, Tamil Nadu  
P.E. Society'S Junior College Of Education,, Maharashtra  
"P.E.S Institute Of Medical Science And Research, Kuppam", Kuppam  , Andhra Pradesh  
P.E.S. College Of Education,, Karnataka  
P.E.S. College Of Engineering, Mandya  , Karnataka  
P.E.S. College Of Physical Education,, Maharashtra  
P.E.S. College Of Science,, Karnataka  
P.E.S. Degree College, East Godavari  , Andhra Pradesh  
P.E.S. Evening College,, Karnataka  
P.E.S. Instt. Of Tech, Bangalore  , Karnataka  
P.E.S. Law College, Mandya  , Karnataka  
P.E.S. Modern Law College, Pune  , Maharashtra  
P.E.T. College Of Education,, Karnataka  
P.E.T. Teachers Training Institute,, Karnataka  
P.G Department Of Management Studies, Sivakasi  , Tamil Nadu  
P.G. College Of Law, Hyderabad  , Andhra Pradesh  
"P.G. College Of Science, Secunderabad", Secunderabad  , Andhra Pradesh  
P.G. Department Of Education,, Maharashtra  
P.G. Vigyan Mahavidyalaya,, Madhya Pradesh  
P.G.D.A.V. College, Delhi  , Delhi  
P.G.D.A.V. College (Evening), Delhi  , Delhi  
P.G.M. Teacher Training Institute,, Kerala  
P.G.P. College Of Arts And Science, Namakkal  , Tamil Nadu  
P.G.P. Polytechnic College, Chennai  , Tamil Nadu  
P.G.P. Teacher Training Institute,, Tamil Nadu  
P.Indra Reddy Memorial Engineering College, Chevella  , Andhra Pradesh  
P.J. College Of Management & Technology, Bhubaneswar  , Orissa  
P.K.D. College Of Education,, Tamil Nadu  
P.K.D. Teacher Training Institute,, Tamil Nadu  
P.K.M. College Of Education,, Kerala  
P.K.N. Arts And Science College, Madurai  , Tamil Nadu  
P.K.R. Arts College For Women, Erode  , Tamil Nadu  
P.K.R. Jain College Of Education,, Haryana  
P.L. Dubey Memorial College Of Eduction,, Rajasthan  
P.L. Dubey Memorial Shiksha Shashtri College,, Rajasthan  
P.L. Dubey Memorial Stc College,, Rajasthan  
P.M. College Of Physical Education & Yoga Tigiria,, Orissa  
P.M.B. Gujarati Arts And Law College,, Madhya Pradesh  
P.M.B. Gujarati Commerce College,, Madhya Pradesh  
P.M.B. Gujarati Science College,, Madhya Pradesh  
P.M.N. Degree College, Visakhapatnam  , Andhra Pradesh  
P.M.P. College Of Arts And Science, Dharmapuri  , Tamil Nadu  
P.N. Das College,, West Bengal  
P.N.C.A. Degree College, Prakasam  , Andhra Pradesh  
P.P.College Of Education,, Maharashtra  
P.P.G. College Of Education,, Tamil Nadu  
P.P.G. College Of Physiotherapy, Coimbatore  , Tamil Nadu  
P.P.G. Teacher Training Institute,, Tamil Nadu  
P.P.G. Teacher Training Institute For Women,, Tamil Nadu  
P.R. Arts And Science College, Dindigul  , Tamil Nadu  
P.R. Rajkiya Mahila Mahavidyalaya,, Uttar Pradesh  
P.R. Teacher Training Institute,, Tamil Nadu  
P.R.N. Teacher Training Institute,, Tamil Nadu  
P.R.R. Institute Of Management Sciences, Anantapur  , Andhra Pradesh  
P.R.R.M. Institute Of Technolgy, Cuddapah  , Andhra Pradesh  
P.S. Muthu Physial Education Teacher Training,, Tamil Nadu  
P.S. Raju College Of Law, Kadakatia  , Andhra Pradesh  
P.S.B. College Of Education,, Andhra Pradesh  
P.S.B. Polytechnic College, Coimbatore  , Tamil Nadu  
P.S.D. Girls Law College, Jhajjar  , Haryana  
"P.S.G Institute Of Medical Sciences, Coimbatore", Coimbatore  , Tamil Nadu  
P.S.G. Arts & Science College, Coimbatore  , Tamil Nadu  
P.S.G. College Of Education,, Tamil Nadu  
P.S.G. College Of Paramedical Sciences, Coimbatore  , Tamil Nadu  
P.S.G. Institute Of Management, Coimbatore  , Tamil Nadu  
P.S.G. Polytechnic College, Chennai  , Tamil Nadu  
P.S.G. Ponnammal College Of Education,, Tamil Nadu  
P.S.G. Ponnammal Teachers Training Institute,, Tamil Nadu  
P.S.G.R. Krishnammal College For Women, Coimbatore  , Tamil Nadu  
P.S.G.V.P. Mandal'S College Of Education,, Maharashtra  
"P.S.I Medical College, Chinoutpalli", Krishna  , Andhra Pradesh  
P.S.N. College Of Education,, Tamil Nadu  
P.S.N. Murthy Degree College, Ramachandrapuram  , Andhra Pradesh  
P.S.N.L. College Of Educational,, Tamil Nadu  
P.S.R. College Of Education,, Tamil Nadu  
P.S.R. Engineering College, Sivakasi  , Tamil Nadu  
P.S.R.Rengasamy College Of Engineering For Women, Sivakasi  , Tamil Nadu  
P.S.S.K. Ded College,, Karnataka  
P.S.S.R. College Of Arts And Science, Nellimarla  , Andhra Pradesh  
P.S.V. College Of Education,, Tamil Nadu  
P.S.V. College Of Engineering & Technology, Krishnagiri  , Tamil Nadu  
P.T. Lee Chengalvaraya Naicker College Of Engineering & Technology, Kanchipuram  , Tamil Nadu  
P.T. Lee Chengalvaraya Naicker Polytechnic College, Villupuram  , Tamil Nadu  
P.T.C. College,, Gujarat  
P.T.C. College Run By Himatnagar Kelavani Mandal,, Gujarat  
P.T.M. Teacher Training Institute,, Kerala  
P.V. Krishna Kishore (Pvkk) Degree College, Anantapur  , Andhra Pradesh  
P.V. Polytechnic College, Cuddalore  , Tamil Nadu  
P.V.D.T. College Of Education For Women,, Maharashtra  
P.V.M. D Ed College,, Karnataka  
P.V.S. Educaion And Rural Development Society,, Karnataka  
P.W. Medical College Patna,, Bihar  
P.W.S. Arts & Commerce College,, Maharashtra  
Pa Aziz College Of Engineering & Technology, Trivandrum  , Kerala  
